step_time,action,avg_cav_dist,reward,meanSpeed,TravelTime,ForcedT
0.1,4,0.0,10.2,72.22,265.8543339795071,0
0.2,4,0.0,10.2,72.22,265.8543339795071,0
0.3,4,0.0,10.2,72.22,265.8543339795071,0
0.4,4,0.0,10.2,72.22,265.8543339795071,0
0.5,4,0.0,10.2,72.22,265.8543339795071,0
0.6,4,0.0,10.2,72.22,265.8543339795071,0
0.7,4,0.0,10.2,67.03089070670826,288.1620224642966,0
0.8,4,0.0,10.2,67.03089070670826,288.1620224642966,0
0.9,4,0.0,10.2,67.03089070670826,288.1620224642966,0
1.0,4,0.0,10.2,67.03089070670826,288.1620224642966,0
1.1,8,0.0,10.2,67.03089070670826,288.1620224642966,0
1.2,8,0.0,10.4,67.03089070670826,288.1620224642966,0
1.3,8,0.0,10.4,67.03089070670826,288.1620224642966,0
1.4,8,0.0,10.4,67.03089070670826,288.1620224642966,0
1.5,8,0.0,10.4,67.03089070670826,288.1620224642966,0
1.6,8,0.0,10.4,67.03089070670826,288.1620224642966,0
1.7,8,0.0,10.4,67.03089070670826,288.1620224642966,0
1.8,8,0.0,10.4,67.03089070670826,288.1620224642966,0
1.9,8,0.0,10.4,67.03089070670826,288.1620224642966,0
2.0,8,0.0,10.4,67.03089070670826,288.1620224642966,0
2.1,8,0.0,10.4,67.03089070670826,288.1620224642966,0
2.2,8,0.0,10.4,67.03089070670826,288.1620224642966,0
2.3,8,0.0,10.4,67.03089070670826,288.1620224642966,0
2.4,8,0.0,10.4,67.03089070670826,288.1620224642966,0
2.5,8,0.0,10.4,67.03089070670826,288.1620224642966,0
2.6,8,0.0,10.4,67.03089070670826,288.1620224642966,0
2.7,8,0.0,10.4,67.03089070670826,288.1620224642966,0
2.8,8,0.0,10.4,67.03089070670826,288.1620224642966,0
2.9,8,0.0,10.4,67.03089070670826,288.1620224642966,0
3.0,8,0.0,10.4,67.03089070670826,288.1620224642966,0
3.1,8,0.0,10.4,67.03089070670826,288.1620224642966,0
3.2,8,0.0,10.4,67.03089070670826,288.1620224642966,0
3.3,8,0.0,10.4,67.03089070670826,288.1620224642966,0
3.4,8,0.0,10.4,67.03089070670826,288.1620224642966,0
3.5,8,0.0,10.4,67.03089070670826,288.1620224642966,0
3.6,8,0.0,10.4,67.03089070670826,288.1620224642966,0
3.7,8,0.0,10.4,67.03089070670826,288.1620224642966,0
3.8,8,0.0,10.4,67.03089070670826,288.1620224642966,0
3.9,8,0.0,10.4,67.03089070670826,288.1620224642966,0
4.0,8,0.0,10.4,67.03089070670826,288.1620224642966,0
4.1,8,0.0,10.4,67.03089070670826,288.1620224642966,0
4.2,8,0.0,10.4,67.03089070670826,288.1620224642966,0
