step_time,action,avg_cav_dist,reward,meanSpeed,TravelTime,ForcedT
0.1,4,0.0,10.2,72.22,265.8543339795071,0
0.2,4,0.0,10.2,72.22,265.8543339795071,0
0.3,4,0.0,10.2,72.22,265.8543339795071,0
0.4,4,0.0,10.2,64.46209869728416,302.22680336763443,0
0.5,4,0.0,10.2,64.46209869728416,302.22680336763443,0
0.6,4,0.0,10.2,64.46209869728416,302.22680336763443,0
0.7,4,0.0,10.2,64.46209869728416,302.22680336763443,0
0.8,8,0.0,10.2,64.46209869728416,302.22680336763443,0
0.9,8,0.0,10.4,64.46209869728416,302.22680336763443,0
1.0,8,0.0,10.4,64.46209869728416,302.22680336763443,0
1.1,8,0.0,10.4,64.46209869728416,302.22680336763443,0
1.2,8,0.0,10.4,64.46209869728416,302.22680336763443,0
1.3,8,0.0,10.4,64.46209869728416,302.22680336763443,0
1.4,8,0.0,10.4,64.46209869728416,302.22680336763443,0
1.5,8,0.0,10.4,64.46209869728416,302.22680336763443,0
1.6,8,0.0,10.4,64.46209869728416,302.22680336763443,0
1.7,8,0.0,10.4,64.46209869728416,302.22680336763443,0
1.8,8,0.0,10.4,64.46209869728416,302.22680336763443,0
1.9,8,0.0,10.4,64.46209869728416,302.22680336763443,0
2.0,8,0.0,10.4,64.46209869728416,302.22680336763443,0
2.1,8,0.0,10.4,64.46209869728416,302.22680336763443,0
2.2,8,0.0,10.4,64.46209869728416,302.22680336763443,0
2.3,8,0.0,10.4,64.46209869728416,302.22680336763443,0
2.4,8,0.0,10.4,64.46209869728416,302.22680336763443,0
2.5,8,0.0,10.4,64.46209869728416,302.22680336763443,0
2.6,8,0.0,10.4,64.46209869728416,302.22680336763443,0
2.7,8,0.0,10.4,64.46209869728416,302.22680336763443,0
2.8,8,0.0,10.4,64.46209869728416,302.22680336763443,0
2.9,8,0.0,10.4,64.46209869728416,302.22680336763443,0
3.0,8,0.0,10.4,64.85448592639301,299.9157161080618,0
3.1,8,0.0,10.4,64.85125187398167,299.9345061636346,0
3.2,8,0.0,10.4,64.84814453188379,299.9525640078038,0
3.3,8,0.0,10.4,64.84515407970532,299.9699462519006,0
3.4,8,0.0,10.4,64.8422715077345,299.98670485844866,0
3.5,8,0.0,10.4,64.63039191870048,300.77709151738,0
3.6,8,0.0,10.4,64.39310099041477,301.6721811157699,0
3.7,8,0.0,10.4,64.15589513288987,302.5784246001079,0
3.8,9,0.0,10.4,63.918767960770495,303.4960917262001,0
3.9,9,0.0,10.5,63.681713614745405,304.4254554727082,0
4.0,9,0.0,10.5,63.44472671796104,305.3667925014903,0
4.1,9,0.0,10.5,63.20780233604802,306.3203836061283,0
4.2,9,0.0,10.5,62.970935940460656,307.28651415071454,0
